r0(um)	R0(um)	Xu	H0(Gs)	b(um)	CatchingRadius(um)
0,03	0,7000000000000001	0,1	7000	0,1	6,587000000000001	
0,04	0,7000000000000001	0,1	3500	0,1	5,089	
0,04	0,7000000000000001	0,1	7000	0,1	6,587000000000001	
0,05	0,7000000000000001	0,1	3500	0,1	5,089	
0,05	0,7000000000000001	0,1	7000	0,1	6,587000000000001	
0,06	0,7000000000000001	0,1	3500	0,1	5,089	
0,06	0,7000000000000001	0,1	7000	0,1	6,587000000000001	
0,07	0,7000000000000001	0,1	3500	0,1	5,089	
0,07	0,7000000000000001	0,1	7000	0,1	6,587000000000001	
0,08	0,7000000000000001	0,1	3500	0,1	5,089	
0,08	0,7000000000000001	0,1	7000	0,1	6,587000000000001	
0,09	0,7000000000000001	0,1	3500	0,1	5,089	
0,09	0,7000000000000001	0,1	7000	0,1	6,587000000000001	
0,01	0,8	0,1	3500	0,1	5,816	
0,01	0,8	0,1	7000	0,1	7,0	
0,02	0,8	0,1	3500	0,1	5,816	
0,02	0,8	0,1	7000	0,1	7,0	
0,03	0,8	0,1	3500	0,1	5,816	
0,03	0,8	0,1	7000	0,1	7,0	
0,04	0,8	0,1	3500	0,1	5,816	
0,04	0,8	0,1	7000	0,1	7,0	
0,05	0,8	0,1	3500	0,1	5,816	
0,05	0,8	0,1	7000	0,1	7,0	
0,06	0,8	0,1	3500	0,1	5,816	
0,06	0,8	0,1	7000	0,1	7,0	
0,07	0,8	0,1	3500	0,1	5,816	
0,07	0,8	0,1	7000	0,1	7,0	
0,08	0,8	0,1	3500	0,1	5,816	
0,08	0,8	0,1	7000	0,1	7,0	
0,09	0,8	0,1	3500	0,1	5,816	
0,09	0,8	0,1	7000	0,1	7,0	
0,01	0,9	0,1	3500	0,1	5,652	
0,01	0,9	0,1	7000	0,1	7,875	
0,02	0,9	0,1	3500	0,1	5,652	
0,02	0,9	0,1	7000	0,1	7,875	
0,03	0,9	0,1	3500	0,1	5,652	
0,03	0,9	0,1	7000	0,1	7,875	
0,04	0,9	0,1	3500	0,1	5,652	
0,04	0,9	0,1	7000	0,1	7,875	
0,05	0,9	0,1	3500	0,1	5,652	
0,05	0,9	0,1	7000	0,1	7,875	
0,06	0,9	0,1	3500	0,1	5,652	
0,06	0,9	0,1	7000	0,1	7,875	
0,07	0,9	0,1	3500	0,1	5,652	
0,07	0,9	0,1	7000	0,1	7,875	
0,08	0,9	0,1	3500	0,1	5,652	
0,08	0,9	0,1	7000	0,1	7,875	
0,09	0,9	0,1	3500	0,1	5,652	
0,09	0,9	0,1	7000	0,1	7,875	
0,01	0,1	0,01	3500	0,1	0,6280000000000001	
0,01	0,1	0,01	7000	0,1	0,809	
0,02	0,1	0,01	3500	0,1	0,6280000000000001	
0,02	0,1	0,01	7000	0,1	0,809	
0,03	0,1	0,01	3500	0,1	0,6280000000000001	
0,03	0,1	0,01	7000	0,1	0,809	
0,04	0,1	0,01	3500	0,1	0,6280000000000001	
0,04	0,1	0,01	7000	0,1	0,809	
0,05	0,1	0,01	3500	0,1	0,6280000000000001	
0,05	0,1	0,01	7000	0,1	0,809	
0,06	0,1	0,01	3500	0,1	0,6280000000000001	
0,06	0,1	0,01	7000	0,1	0,809	
0,07	0,1	0,01	3500	0,1	0,6280000000000001	
0,07	0,1	0,01	7000	0,1	0,809	
0,08	0,1	0,01	3500	0,1	0,6280000000000001	
0,08	0,1	0,01	7000	0,1	0,809	
0,09	0,1	0,01	3500	0,1	0,6280000000000001	
0,09	0,1	0,01	7000	0,1	0,809	
0,01	0,2	0,01	3500	0,1	1,084	
0,01	0,2	0,01	7000	0,1	1,2560000000000002	
0,02	0,2	0,01	3500	0,1	1,084	
0,02	0,2	0,01	7000	0,1	1,2560000000000002	
0,03	0,2	0,01	3500	0,1	1,084	
0,03	0,2	0,01	7000	0,1	1,2560000000000002	
0,04	0,2	0,01	3500	0,1	1,084	
0,04	0,2	0,01	7000	0,1	1,2560000000000002	
0,05	0,2	0,01	3500	0,1	1,084	
0,05	0,2	0,01	7000	0,1	1,2560000000000002	
0,06	0,2	0,01	3500	0,1	1,084	
0,06	0,2	0,01	7000	0,1	1,2560000000000002	
0,07	0,2	0,01	3500	0,1	1,084	
0,07	0,2	0,01	7000	0,1	1,2560000000000002	
0,08	0,2	0,01	3500	0,1	1,084	
0,08	0,2	0,01	7000	0,1	1,2560000000000002	
0,09	0,2	0,01	3500	0,1	1,084	
0,09	0,2	0,01	7000	0,1	1,2560000000000002	
0,01	0,30000000000000004	0,01	3500	0,1	1,4070000000000003	
0,01	0,30000000000000004	0,01	7000	0,1	1,6260000000000001	
0,02	0,30000000000000004	0,01	3500	0,1	1,4070000000000003	
0,02	0,30000000000000004	0,01	7000	0,1	1,6260000000000001	
0,03	0,30000000000000004	0,01	3500	0,1	1,4070000000000003	
0,03	0,30000000000000004	0,01	7000	0,1	1,6260000000000001	
0,04	0,30000000000000004	0,01	3500	0,1	1,4070000000000003	
0,04	0,30000000000000004	0,01	7000	0,1	1,6260000000000001	
0,05	0,30000000000000004	0,01	3500	0,1	1,4070000000000003	
0,05	0,30000000000000004	0,01	7000	0,1	1,6260000000000001	
0,06	0,30000000000000004	0,01	3500	0,1	1,4070000000000003	
0,06	0,30000000000000004	0,01	7000	0,1	1,6260000000000001	
0,07	0,30000000000000004	0,01	3500	0,1	1,4070000000000003	
0,07	0,30000000000000004	0,01	7000	0,1	1,6260000000000001	
0,08	0,30000000000000004	0,01	3500	0,1	1,4070000000000003	
0,08	0,30000000000000004	0,01	7000	0,1	1,6260000000000001	
0,09	0,30000000000000004	0,01	3500	0,1	1,4070000000000003	
0,09	0,30000000000000004	0,01	7000	0,1	1,6260000000000001	
0,01	0,4	0,01	3500	0,1	1,62	
