r0(um)	R0(um)	Xu	H0(Gs)	b(um)	CatchingRadius(um)
0,08	0,1	0,0001	7000	0,1	0,225	
0,09	0,1	0,0001	3500	0,1	0,225	
0,09	0,1	0,0001	7000	0,1	0,225	
0,01	0,2	0,0001	3500	0,1	0,39	
0,01	0,2	0,0001	7000	0,1	0,39	
0,02	0,2	0,0001	3500	0,1	0,39	
0,02	0,2	0,0001	7000	0,1	0,39	
0,03	0,2	0,0001	3500	0,1	0,39	
0,03	0,2	0,0001	7000	0,1	0,39	
0,04	0,2	0,0001	3500	0,1	0,39	
0,04	0,2	0,0001	7000	0,1	0,39	
0,05	0,2	0,0001	3500	0,1	0,39	
0,05	0,2	0,0001	7000	0,1	0,39	
0,06	0,2	0,0001	3500	0,1	0,39	
0,06	0,2	0,0001	7000	0,1	0,39	
0,07	0,2	0,0001	3500	0,1	0,39	
0,07	0,2	0,0001	7000	0,1	0,39	
0,08	0,2	0,0001	3500	0,1	0,39	
0,08	0,2	0,0001	7000	0,1	0,39	
0,09	0,2	0,0001	3500	0,1	0,39	
0,09	0,2	0,0001	7000	0,1	0,39	
0,01	0,30000000000000004	0,0001	3500	0,1	0,5850000000000001	
0,01	0,30000000000000004	0,0001	7000	0,1	0,5850000000000001	
0,02	0,30000000000000004	0,0001	3500	0,1	0,5850000000000001	
0,02	0,30000000000000004	0,0001	7000	0,1	0,5850000000000001	
0,03	0,30000000000000004	0,0001	3500	0,1	0,5850000000000001	
0,03	0,30000000000000004	0,0001	7000	0,1	0,5850000000000001	
0,04	0,30000000000000004	0,0001	3500	0,1	0,5850000000000001	
0,04	0,30000000000000004	0,0001	7000	0,1	0,5850000000000001	
0,05	0,30000000000000004	0,0001	3500	0,1	0,5850000000000001	
0,05	0,30000000000000004	0,0001	7000	0,1	0,5850000000000001	
0,06	0,30000000000000004	0,0001	3500	0,1	0,5850000000000001	
0,06	0,30000000000000004	0,0001	7000	0,1	0,5850000000000001	
0,07	0,30000000000000004	0,0001	3500	0,1	0,5850000000000001	
0,07	0,30000000000000004	0,0001	7000	0,1	0,5850000000000001	
0,08	0,30000000000000004	0,0001	3500	0,1	0,5850000000000001	
0,08	0,30000000000000004	0,0001	7000	0,1	0,5850000000000001	
0,09	0,30000000000000004	0,0001	3500	0,1	0,5850000000000001	
0,09	0,30000000000000004	0,0001	7000	0,1	0,5850000000000001	
0,01	0,4	0,0001	3500	0,1	0,672	
0,01	0,4	0,0001	7000	0,1	0,672	
0,02	0,4	0,0001	3500	0,1	0,672	
0,02	0,4	0,0001	7000	0,1	0,672	
0,03	0,4	0,0001	3500	0,1	0,672	
0,03	0,4	0,0001	7000	0,1	0,672	
0,04	0,4	0,0001	3500	0,1	0,672	
0,04	0,4	0,0001	7000	0,1	0,672	
0,05	0,4	0,0001	3500	0,1	0,672	
0,05	0,4	0,0001	7000	0,1	0,672	
0,06	0,4	0,0001	3500	0,1	0,672	
0,06	0,4	0,0001	7000	0,1	0,672	
0,07	0,4	0,0001	3500	0,1	0,672	
0,07	0,4	0,0001	7000	0,1	0,672	
0,08	0,4	0,0001	3500	0,1	0,672	
0,08	0,4	0,0001	7000	0,1	0,672	
0,09	0,4	0,0001	3500	0,1	0,672	
0,09	0,4	0,0001	7000	0,1	0,672	
0,01	0,5	0,0001	3500	0,1	0,84	
0,01	0,5	0,0001	7000	0,1	0,84	
0,02	0,5	0,0001	3500	0,1	0,84	
0,02	0,5	0,0001	7000	0,1	0,84	
0,03	0,5	0,0001	3500	0,1	0,84	
0,03	0,5	0,0001	7000	0,1	0,84	
0,04	0,5	0,0001	3500	0,1	0,84	
0,04	0,5	0,0001	7000	0,1	0,84	
0,05	0,5	0,0001	3500	0,1	0,84	
0,05	0,5	0,0001	7000	0,1	0,84	
0,06	0,5	0,0001	3500	0,1	0,84	
0,06	0,5	0,0001	7000	0,1	0,84	
0,07	0,5	0,0001	3500	0,1	0,84	
0,07	0,5	0,0001	7000	0,1	0,84	
0,08	0,5	0,0001	3500	0,1	0,84	
0,08	0,5	0,0001	7000	0,1	0,84	
0,09	0,5	0,0001	3500	0,1	0,84	
0,09	0,5	0,0001	7000	0,1	0,84	
0,01	0,6000000000000001	0,0001	3500	0,1	1,008	
0,01	0,6000000000000001	0,0001	7000	0,1	1,008	
0,02	0,6000000000000001	0,0001	3500	0,1	1,008	
0,02	0,6000000000000001	0,0001	7000	0,1	1,008	
0,03	0,6000000000000001	0,0001	3500	0,1	1,008	
0,03	0,6000000000000001	0,0001	7000	0,1	1,008	
0,04	0,6000000000000001	0,0001	3500	0,1	1,008	
0,04	0,6000000000000001	0,0001	7000	0,1	1,008	
0,05	0,6000000000000001	0,0001	3500	0,1	1,008	
0,05	0,6000000000000001	0,0001	7000	0,1	1,008	
0,06	0,6000000000000001	0,0001	3500	0,1	1,008	
0,06	0,6000000000000001	0,0001	7000	0,1	1,008	
0,07	0,6000000000000001	0,0001	3500	0,1	1,008	
0,07	0,6000000000000001	0,0001	7000	0,1	1,008	
0,08	0,6000000000000001	0,0001	3500	0,1	1,008	
0,08	0,6000000000000001	0,0001	7000	0,1	1,008	
0,09	0,6000000000000001	0,0001	3500	0,1	1,008	
0,09	0,6000000000000001	0,0001	7000	0,1	1,008	
0,01	0,7000000000000001	0,0001	3500	0,1	1,0150000000000001	
0,01	0,7000000000000001	0,0001	7000	0,1	1,0150000000000001	
0,02	0,7000000000000001	0,0001	3500	0,1	1,0150000000000001	
0,02	0,7000000000000001	0,0001	7000	0,1	1,0150000000000001	
0,03	0,7000000000000001	0,0001	3500	0,1	1,0150000000000001	
0,03	0,7000000000000001	0,0001	7000	0,1	1,0150000000000001	
0,04	0,7000000000000001	0,0001	3500	0,1	1,0150000000000001	
0,04	0,7000000000000001	0,0001	7000	0,1	1,0150000000000001	
0,05	0,7000000000000001	0,0001	3500	0,1	1,0150000000000001	
0,05	0,7000000000000001	0,0001	7000	0,1	1,0150000000000001	
0,06	0,7000000000000001	0,0001	3500	0,1	1,0150000000000001	
0,06	0,7000000000000001	0,0001	7000	0,1	1,0150000000000001	
0,07	0,7000000000000001	0,0001	3500	0,1	1,0150000000000001	
0,07	0,7000000000000001	0,0001	7000	0,1	1,0150000000000001	
0,08	0,7000000000000001	0,0001	3500	0,1	1,0150000000000001	
0,08	0,7000000000000001	0,0001	7000	0,1	1,0150000000000001	
0,09	0,7000000000000001	0,0001	3500	0,1	1,0150000000000001	
0,09	0,7000000000000001	0,0001	7000	0,1	1,0150000000000001	
0,01	0,8	0,0001	3500	0,1	1,16	
0,01	0,8	0,0001	7000	0,1	1,16	
0,02	0,8	0,0001	3500	0,1	1,16	
0,02	0,8	0,0001	7000	0,1	1,16	
0,03	0,8	0,0001	3500	0,1	1,16	
0,03	0,8	0,0001	7000	0,1	1,16	
0,04	0,8	0,0001	3500	0,1	1,16	
0,04	0,8	0,0001	7000	0,1	1,16	
0,05	0,8	0,0001	3500	0,1	1,16	
0,05	0,8	0,0001	7000	0,1	1,16	
0,06	0,8	0,0001	3500	0,1	1,16	
0,06	0,8	0,0001	7000	0,1	1,16	
0,07	0,8	0,0001	3500	0,1	1,16	
0,07	0,8	0,0001	7000	0,1	1,16	
0,08	0,8	0,0001	3500	0,1	1,16	
0,08	0,8	0,0001	7000	0,1	1,16	
0,09	0,8	0,0001	3500	0,1	1,16	
0,09	0,8	0,0001	7000	0,1	1,16	
0,01	0,9	0,0001	3500	0,1	1,305	
0,01	0,9	0,0001	7000	0,1	1,305	
0,02	0,9	0,0001	3500	0,1	1,305	
0,02	0,9	0,0001	7000	0,1	1,305	
0,03	0,9	0,0001	3500	0,1	1,305	
0,03	0,9	0,0001	7000	0,1	1,305	
0,04	0,9	0,0001	3500	0,1	1,305	
0,04	0,9	0,0001	7000	0,1	1,305	
0,05	0,9	0,0001	3500	0,1	1,305	
0,05	0,9	0,0001	7000	0,1	1,305	
0,06	0,9	0,0001	3500	0,1	1,305	
0,06	0,9	0,0001	7000	0,1	1,305	
0,07	0,9	0,0001	3500	0,1	1,305	
0,07	0,9	0,0001	7000	0,1	1,305	
0,08	0,9	0,0001	3500	0,1	1,305	
0,08	0,9	0,0001	7000	0,1	1,305	
0,09	0,9	0,0001	3500	0,1	1,305	
0,09	0,9	0,0001	7000	0,1	1,305	
0,01	0,1	1e-05	3500	0,1	0,145	
0,01	0,1	1e-05	7000	0,1	0,145	
0,02	0,1	1e-05	3500	0,1	0,145	
0,02	0,1	1e-05	7000	0,1	0,145	
0,03	0,1	1e-05	3500	0,1	0,145	
0,03	0,1	1e-05	7000	0,1	0,145	
0,04	0,1	1e-05	3500	0,1	0,145	
0,04	0,1	1e-05	7000	0,1	0,145	
0,05	0,1	1e-05	3500	0,1	0,145	
0,05	0,1	1e-05	7000	0,1	0,145	
0,06	0,1	1e-05	3500	0,1	0,145	
0,06	0,1	1e-05	7000	0,1	0,145	
0,07	0,1	1e-05	3500	0,1	0,145	
0,07	0,1	1e-05	7000	0,1	0,145	
0,08	0,1	1e-05	3500	0,1	0,145	
0,08	0,1	1e-05	7000	0,1	0,145	
0,09	0,1	1e-05	3500	0,1	0,145	
0,09	0,1	1e-05	7000	0,1	0,145	
0,01	0,2	1e-05	3500	0,1	0,25	
0,01	0,2	1e-05	7000	0,1	0,25	
0,02	0,2	1e-05	3500	0,1	0,25	
0,02	0,2	1e-05	7000	0,1	0,25	
0,03	0,2	1e-05	3500	0,1	0,25	
0,03	0,2	1e-05	7000	0,1	0,25	
0,04	0,2	1e-05	3500	0,1	0,25	
0,04	0,2	1e-05	7000	0,1	0,25	
0,05	0,2	1e-05	3500	0,1	0,25	
0,05	0,2	1e-05	7000	0,1	0,25	
0,06	0,2	1e-05	3500	0,1	0,25	
0,06	0,2	1e-05	7000	0,1	0,25	
0,07	0,2	1e-05	3500	0,1	0,25	
0,07	0,2	1e-05	7000	0,1	0,25	
0,08	0,2	1e-05	3500	0,1	0,25	
0,08	0,2	1e-05	7000	0,1	0,25	
0,09	0,2	1e-05	3500	0,1	0,25	
0,09	0,2	1e-05	7000	0,1	0,25	
0,01	0,30000000000000004	1e-05	3500	0,1	0,37500000000000006	
0,01	0,30000000000000004	1e-05	7000	0,1	0,37500000000000006	
0,02	0,30000000000000004	1e-05	3500	0,1	0,37500000000000006	
0,02	0,30000000000000004	1e-05	7000	0,1	0,37500000000000006	
0,03	0,30000000000000004	1e-05	3500	0,1	0,37500000000000006	
0,03	0,30000000000000004	1e-05	7000	0,1	0,37500000000000006	
0,04	0,30000000000000004	1e-05	3500	0,1	0,37500000000000006	
0,04	0,30000000000000004	1e-05	7000	0,1	0,37500000000000006	
0,05	0,30000000000000004	1e-05	3500	0,1	0,37500000000000006	
0,05	0,30000000000000004	1e-05	7000	0,1	0,37500000000000006	
0,06	0,30000000000000004	1e-05	3500	0,1	0,37500000000000006	
0,06	0,30000000000000004	1e-05	7000	0,1	0,37500000000000006	
0,07	0,30000000000000004	1e-05	3500	0,1	0,37500000000000006	
0,07	0,30000000000000004	1e-05	7000	0,1	0,37500000000000006	
0,08	0,30000000000000004	1e-05	3500	0,1	0,37500000000000006	
0,08	0,30000000000000004	1e-05	7000	0,1	0,37500000000000006	
0,09	0,30000000000000004	1e-05	3500	0,1	0,37500000000000006	
0,09	0,30000000000000004	1e-05	7000	0,1	0,37500000000000006	
0,01	0,4	1e-05	3500	0,1	0,5	
0,01	0,4	1e-05	7000	0,1	0,5	
0,02	0,4	1e-05	3500	0,1	0,5	
0,02	0,4	1e-05	7000	0,1	0,5	
0,03	0,4	1e-05	3500	0,1	0,5	
0,03	0,4	1e-05	7000	0,1	0,5	
0,04	0,4	1e-05	3500	0,1	0,5	
0,04	0,4	1e-05	7000	0,1	0,5	
0,05	0,4	1e-05	3500	0,1	0,5	
0,05	0,4	1e-05	7000	0,1	0,5	
0,06	0,4	1e-05	3500	0,1	0,5	
0,06	0,4	1e-05	7000	0,1	0,5	
0,07	0,4	1e-05	3500	0,1	0,5	
0,07	0,4	1e-05	7000	0,1	0,5	
0,08	0,4	1e-05	3500	0,1	0,5	
0,08	0,4	1e-05	7000	0,1	0,5	
0,09	0,4	1e-05	3500	0,1	0,5	
0,09	0,4	1e-05	7000	0,1	0,5	
0,01	0,5	1e-05	3500	0,1	0,54	
0,01	0,5	1e-05	7000	0,1	0,54	
0,02	0,5	1e-05	3500	0,1	0,54	
0,02	0,5	1e-05	7000	0,1	0,54	
0,03	0,5	1e-05	3500	0,1	0,54	
0,03	0,5	1e-05	7000	0,1	0,54	
0,04	0,5	1e-05	3500	0,1	0,54	
0,04	0,5	1e-05	7000	0,1	0,54	
0,05	0,5	1e-05	3500	0,1	0,54	
0,05	0,5	1e-05	7000	0,1	0,54	
0,06	0,5	1e-05	3500	0,1	0,54	
0,06	0,5	1e-05	7000	0,1	0,54	
0,07	0,5	1e-05	3500	0,1	0,54	
0,07	0,5	1e-05	7000	0,1	0,54	
0,08	0,5	1e-05	3500	0,1	0,54	
0,08	0,5	1e-05	7000	0,1	0,54	
0,09	0,5	1e-05	3500	0,1	0,54	
0,09	0,5	1e-05	7000	0,1	0,54	
0,01	0,6000000000000001	1e-05	3500	0,1	0,6480000000000001	
0,01	0,6000000000000001	1e-05	7000	0,1	0,6480000000000001	
0,02	0,6000000000000001	1e-05	3500	0,1	0,6480000000000001	
0,02	0,6000000000000001	1e-05	7000	0,1	0,6480000000000001	
0,03	0,6000000000000001	1e-05	3500	0,1	0,6480000000000001	
0,03	0,6000000000000001	1e-05	7000	0,1	0,6480000000000001	
0,04	0,6000000000000001	1e-05	3500	0,1	0,6480000000000001	
0,04	0,6000000000000001	1e-05	7000	0,1	0,6480000000000001	
0,05	0,6000000000000001	1e-05	3500	0,1	0,6480000000000001	
0,05	0,6000000000000001	1e-05	7000	0,1	0,6480000000000001	
0,06	0,6000000000000001	1e-05	3500	0,1	0,6480000000000001	
0,06	0,6000000000000001	1e-05	7000	0,1	0,6480000000000001	
0,07	0,6000000000000001	1e-05	3500	0,1	0,6480000000000001	
0,07	0,6000000000000001	1e-05	7000	0,1	0,6480000000000001	
0,08	0,6000000000000001	1e-05	3500	0,1	0,6480000000000001	
0,08	0,6000000000000001	1e-05	7000	0,1	0,6480000000000001	
0,09	0,6000000000000001	1e-05	3500	0,1	0,6480000000000001	
0,09	0,6000000000000001	1e-05	7000	0,1	0,6480000000000001	
0,01	0,7000000000000001	1e-05	3500	0,1	0,7560000000000001	
0,01	0,7000000000000001	1e-05	7000	0,1	0,7560000000000001	
0,02	0,7000000000000001	1e-05	3500	0,1	0,7560000000000001	
0,02	0,7000000000000001	1e-05	7000	0,1	0,7560000000000001	
0,03	0,7000000000000001	1e-05	3500	0,1	0,7560000000000001	
0,03	0,7000000000000001	1e-05	7000	0,1	0,7560000000000001	
0,04	0,7000000000000001	1e-05	3500	0,1	0,7560000000000001	
0,04	0,7000000000000001	1e-05	7000	0,1	0,7560000000000001	
0,05	0,7000000000000001	1e-05	3500	0,1	0,7560000000000001	
0,05	0,7000000000000001	1e-05	7000	0,1	0,7560000000000001	
0,06	0,7000000000000001	1e-05	3500	0,1	0,7560000000000001	
0,06	0,7000000000000001	1e-05	7000	0,1	0,7560000000000001	
0,07	0,7000000000000001	1e-05	3500	0,1	0,7560000000000001	
0,07	0,7000000000000001	1e-05	7000	0,1	0,7560000000000001	
0,08	0,7000000000000001	1e-05	3500	0,1	0,7560000000000001	
0,08	0,7000000000000001	1e-05	7000	0,1	0,7560000000000001	
0,09	0,7000000000000001	1e-05	3500	0,1	0,7560000000000001	
0,09	0,7000000000000001	1e-05	7000	0,1	0,7560000000000001	
0,01	0,8	1e-05	3500	0,1	0,8640000000000001	
0,01	0,8	1e-05	7000	0,1	0,8640000000000001	
0,02	0,8	1e-05	3500	0,1	0,8640000000000001	
0,02	0,8	1e-05	7000	0,1	0,8640000000000001	
0,03	0,8	1e-05	3500	0,1	0,8640000000000001	
0,03	0,8	1e-05	7000	0,1	0,8640000000000001	
0,04	0,8	1e-05	3500	0,1	0,8640000000000001	
0,04	0,8	1e-05	7000	0,1	0,8640000000000001	
0,05	0,8	1e-05	3500	0,1	0,8640000000000001	
0,05	0,8	1e-05	7000	0,1	0,8640000000000001	
0,06	0,8	1e-05	3500	0,1	0,8640000000000001	
0,06	0,8	1e-05	7000	0,1	0,8640000000000001	
0,07	0,8	1e-05	3500	0,1	0,8640000000000001	
0,07	0,8	1e-05	7000	0,1	0,8640000000000001	
0,08	0,8	1e-05	3500	0,1	0,8640000000000001	
0,08	0,8	1e-05	7000	0,1	0,8640000000000001	
0,09	0,8	1e-05	3500	0,1	0,8640000000000001	
0,09	0,8	1e-05	7000	0,1	0,8640000000000001	
0,01	0,9	1e-05	3500	0,1	0,9720000000000001	
0,01	0,9	1e-05	7000	0,1	0,9720000000000001	
0,02	0,9	1e-05	3500	0,1	0,9720000000000001	
0,02	0,9	1e-05	7000	0,1	0,9720000000000001	
0,03	0,9	1e-05	3500	0,1	0,9720000000000001	
0,03	0,9	1e-05	7000	0,1	0,9720000000000001	
0,04	0,9	1e-05	3500	0,1	0,9720000000000001	
0,04	0,9	1e-05	7000	0,1	0,9720000000000001	
0,05	0,9	1e-05	3500	0,1	0,9720000000000001	
0,05	0,9	1e-05	7000	0,1	0,9720000000000001	
0,06	0,9	1e-05	3500	0,1	0,9720000000000001	
0,06	0,9	1e-05	7000	0,1	0,9720000000000001	
0,07	0,9	1e-05	3500	0,1	0,9720000000000001	
0,07	0,9	1e-05	7000	0,1	0,9720000000000001	
0,08	0,9	1e-05	3500	0,1	0,9720000000000001	
0,08	0,9	1e-05	7000	0,1	0,9720000000000001	
0,09	0,9	1e-05	3500	0,1	0,9720000000000001	
0,09	0,9	1e-05	7000	0,1	0,9720000000000001	
0,01	0,1	1e-06	3500	0,1	0,10800000000000001	
0,01	0,1	1e-06	7000	0,1	0,10800000000000001	
0,02	0,1	1e-06	3500	0,1	0,10800000000000001	
0,02	0,1	1e-06	7000	0,1	0,10800000000000001	
0,03	0,1	1e-06	3500	0,1	0,10800000000000001	
0,03	0,1	1e-06	7000	0,1	0,10800000000000001	
0,04	0,1	1e-06	3500	0,1	0,10800000000000001	
0,04	0,1	1e-06	7000	0,1	0,10800000000000001	
0,05	0,1	1e-06	3500	0,1	0,10800000000000001	
0,05	0,1	1e-06	7000	0,1	0,10800000000000001	
0,06	0,1	1e-06	3500	0,1	0,10800000000000001	
0,06	0,1	1e-06	7000	0,1	0,10800000000000001	
0,07	0,1	1e-06	3500	0,1	0,10800000000000001	
0,07	0,1	1e-06	7000	0,1	0,10800000000000001	
0,08	0,1	1e-06	3500	0,1	0,10800000000000001	
0,08	0,1	1e-06	7000	0,1	0,10800000000000001	
0,09	0,1	1e-06	3500	0,1	0,10800000000000001	
0,09	0,1	1e-06	7000	0,1	0,10800000000000001	
0,01	0,2	1e-06	3500	0,1	0,21600000000000003	
0,01	0,2	1e-06	7000	0,1	0,21600000000000003	
0,02	0,2	1e-06	3500	0,1	0,21600000000000003	
0,02	0,2	1e-06	7000	0,1	0,21600000000000003	
0,03	0,2	1e-06	3500	0,1	0,21600000000000003	
0,03	0,2	1e-06	7000	0,1	0,21600000000000003	
0,04	0,2	1e-06	3500	0,1	0,21600000000000003	
0,04	0,2	1e-06	7000	0,1	0,21600000000000003	
0,05	0,2	1e-06	3500	0,1	0,21600000000000003	
0,05	0,2	1e-06	7000	0,1	0,21600000000000003	
0,06	0,2	1e-06	3500	0,1	0,21600000000000003	
0,06	0,2	1e-06	7000	0,1	0,21600000000000003	
0,07	0,2	1e-06	3500	0,1	0,21600000000000003	
0,07	0,2	1e-06	7000	0,1	0,21600000000000003	
0,08	0,2	1e-06	3500	0,1	0,21600000000000003	
0,08	0,2	1e-06	7000	0,1	0,21600000000000003	
0,09	0,2	1e-06	3500	0,1	0,21600000000000003	
0,09	0,2	1e-06	7000	0,1	0,21600000000000003	
0,01	0,30000000000000004	1e-06	3500	0,1	0,32400000000000007	
0,01	0,30000000000000004	1e-06	7000	0,1	0,32400000000000007	
0,02	0,30000000000000004	1e-06	3500	0,1	0,32400000000000007	
0,02	0,30000000000000004	1e-06	7000	0,1	0,32400000000000007	
0,03	0,30000000000000004	1e-06	3500	0,1	0,32400000000000007	
0,03	0,30000000000000004	1e-06	7000	0,1	0,32400000000000007	
0,04	0,30000000000000004	1e-06	3500	0,1	0,32400000000000007	
0,04	0,30000000000000004	1e-06	7000	0,1	0,32400000000000007	
0,05	0,30000000000000004	1e-06	3500	0,1	0,32400000000000007	
0,05	0,30000000000000004	1e-06	7000	0,1	0,32400000000000007	
0,06	0,30000000000000004	1e-06	3500	0,1	0,32400000000000007	
0,06	0,30000000000000004	1e-06	7000	0,1	0,32400000000000007	
0,07	0,30000000000000004	1e-06	3500	0,1	0,32400000000000007	
0,07	0,30000000000000004	1e-06	7000	0,1	0,32400000000000007	
0,08	0,30000000000000004	1e-06	3500	0,1	0,32400000000000007	
0,08	0,30000000000000004	1e-06	7000	0,1	0,32400000000000007	
0,09	0,30000000000000004	1e-06	3500	0,1	0,32400000000000007	
0,09	0,30000000000000004	1e-06	7000	0,1	0,32400000000000007	
0,01	0,4	1e-06	3500	0,1	0,43200000000000005	
0,01	0,4	1e-06	7000	0,1	0,43200000000000005	
0,02	0,4	1e-06	3500	0,1	0,43200000000000005	
0,02	0,4	1e-06	7000	0,1	0,43200000000000005	
0,03	0,4	1e-06	3500	0,1	0,43200000000000005	
0,03	0,4	1e-06	7000	0,1	0,43200000000000005	
0,04	0,4	1e-06	3500	0,1	0,43200000000000005	
0,04	0,4	1e-06	7000	0,1	0,43200000000000005	
0,05	0,4	1e-06	3500	0,1	0,43200000000000005	
0,05	0,4	1e-06	7000	0,1	0,43200000000000005	
0,06	0,4	1e-06	3500	0,1	0,43200000000000005	
0,06	0,4	1e-06	7000	0,1	0,43200000000000005	
0,07	0,4	1e-06	3500	0,1	0,43200000000000005	
0,07	0,4	1e-06	7000	0,1	0,43200000000000005	
0,08	0,4	1e-06	3500	0,1	0,43200000000000005	
0,08	0,4	1e-06	7000	0,1	0,43200000000000005	
0,09	0,4	1e-06	3500	0,1	0,43200000000000005	
0,09	0,4	1e-06	7000	0,1	0,43200000000000005	
0,01	0,5	1e-06	3500	0,1	0,54	
0,01	0,5	1e-06	7000	0,1	0,54	
0,02	0,5	1e-06	3500	0,1	0,54	
0,02	0,5	1e-06	7000	0,1	0,54	
0,03	0,5	1e-06	3500	0,1	0,54	
0,03	0,5	1e-06	7000	0,1	0,54	
0,04	0,5	1e-06	3500	0,1	0,54	
0,04	0,5	1e-06	7000	0,1	0,54	
0,05	0,5	1e-06	3500	0,1	0,54	
0,05	0,5	1e-06	7000	0,1	0,54	
0,06	0,5	1e-06	3500	0,1	0,54	
0,06	0,5	1e-06	7000	0,1	0,54	
0,07	0,5	1e-06	3500	0,1	0,54	
0,07	0,5	1e-06	7000	0,1	0,54	
0,08	0,5	1e-06	3500	0,1	0,54	
0,08	0,5	1e-06	7000	0,1	0,54	
0,09	0,5	1e-06	3500	0,1	0,54	
0,09	0,5	1e-06	7000	0,1	0,54	
0,01	0,6000000000000001	1e-06	3500	0,1	0,6480000000000001	
0,01	0,6000000000000001	1e-06	7000	0,1	0,6480000000000001	
0,02	0,6000000000000001	1e-06	3500	0,1	0,6480000000000001	
0,02	0,6000000000000001	1e-06	7000	0,1	0,6480000000000001	
0,03	0,6000000000000001	1e-06	3500	0,1	0,6480000000000001	
0,03	0,6000000000000001	1e-06	7000	0,1	0,6480000000000001	
0,04	0,6000000000000001	1e-06	3500	0,1	0,6480000000000001	
0,04	0,6000000000000001	1e-06	7000	0,1	0,6480000000000001	
0,05	0,6000000000000001	1e-06	3500	0,1	0,6480000000000001	
0,05	0,6000000000000001	1e-06	7000	0,1	0,6480000000000001	
0,06	0,6000000000000001	1e-06	3500	0,1	0,6480000000000001	
0,06	0,6000000000000001	1e-06	7000	0,1	0,6480000000000001	
0,07	0,6000000000000001	1e-06	3500	0,1	0,6480000000000001	
0,07	0,6000000000000001	1e-06	7000	0,1	0,6480000000000001	
0,08	0,6000000000000001	1e-06	3500	0,1	0,6480000000000001	
0,08	0,6000000000000001	1e-06	7000	0,1	0,6480000000000001	
0,09	0,6000000000000001	1e-06	3500	0,1	0,6480000000000001	
0,09	0,6000000000000001	1e-06	7000	0,1	0,6480000000000001	
0,01	0,7000000000000001	1e-06	3500	0,1	0,7560000000000001	
0,01	0,7000000000000001	1e-06	7000	0,1	0,7560000000000001	
0,02	0,7000000000000001	1e-06	3500	0,1	0,7560000000000001	
0,02	0,7000000000000001	1e-06	7000	0,1	0,7560000000000001	
0,03	0,7000000000000001	1e-06	3500	0,1	0,7560000000000001	
0,03	0,7000000000000001	1e-06	7000	0,1	0,7560000000000001	
0,04	0,7000000000000001	1e-06	3500	0,1	0,7560000000000001	
0,04	0,7000000000000001	1e-06	7000	0,1	0,7560000000000001	
0,05	0,7000000000000001	1e-06	3500	0,1	0,7560000000000001	
0,05	0,7000000000000001	1e-06	7000	0,1	0,7560000000000001	
0,06	0,7000000000000001	1e-06	3500	0,1	0,7560000000000001	
0,06	0,7000000000000001	1e-06	7000	0,1	0,7560000000000001	
0,07	0,7000000000000001	1e-06	3500	0,1	0,7560000000000001	
0,07	0,7000000000000001	1e-06	7000	0,1	0,7560000000000001	
0,08	0,7000000000000001	1e-06	3500	0,1	0,7560000000000001	
0,08	0,7000000000000001	1e-06	7000	0,1	0,7560000000000001	
0,09	0,7000000000000001	1e-06	3500	0,1	0,7560000000000001	
0,09	0,7000000000000001	1e-06	7000	0,1	0,7560000000000001	
0,01	0,8	1e-06	3500	0,1	0,8640000000000001	
0,01	0,8	1e-06	7000	0,1	0,8640000000000001	
0,02	0,8	1e-06	3500	0,1	0,8640000000000001	
0,02	0,8	1e-06	7000	0,1	0,8640000000000001	
0,03	0,8	1e-06	3500	0,1	0,8640000000000001	
0,03	0,8	1e-06	7000	0,1	0,8640000000000001	
0,04	0,8	1e-06	3500	0,1	0,8640000000000001	
0,04	0,8	1e-06	7000	0,1	0,8640000000000001	
0,05	0,8	1e-06	3500	0,1	0,8640000000000001	
0,05	0,8	1e-06	7000	0,1	0,8640000000000001	
0,06	0,8	1e-06	3500	0,1	0,8640000000000001	
0,06	0,8	1e-06	7000	0,1	0,8640000000000001	
0,07	0,8	1e-06	3500	0,1	0,8640000000000001	
0,07	0,8	1e-06	7000	0,1	0,8640000000000001	
0,08	0,8	1e-06	3500	0,1	0,8640000000000001	
0,08	0,8	1e-06	7000	0,1	0,8640000000000001	
0,09	0,8	1e-06	3500	0,1	0,8640000000000001	
0,09	0,8	1e-06	7000	0,1	0,8640000000000001	
0,01	0,9	1e-06	3500	0,1	0,9720000000000001	
0,01	0,9	1e-06	7000	0,1	0,9720000000000001	
0,02	0,9	1e-06	3500	0,1	0,9720000000000001	
0,02	0,9	1e-06	7000	0,1	0,9720000000000001	
0,03	0,9	1e-06	3500	0,1	0,9720000000000001	
0,03	0,9	1e-06	7000	0,1	0,9720000000000001	
0,04	0,9	1e-06	3500	0,1	0,9720000000000001	
0,04	0,9	1e-06	7000	0,1	0,9720000000000001	
0,05	0,9	1e-06	3500	0,1	0,9720000000000001	
0,05	0,9	1e-06	7000	0,1	0,9720000000000001	
0,06	0,9	1e-06	3500	0,1	0,9720000000000001	
0,06	0,9	1e-06	7000	0,1	0,9720000000000001	
0,07	0,9	1e-06	3500	0,1	0,9720000000000001	
0,07	0,9	1e-06	7000	0,1	0,9720000000000001	
0,08	0,9	1e-06	3500	0,1	0,9720000000000001	
0,08	0,9	1e-06	7000	0,1	0,9720000000000001	
0,09	0,9	1e-06	3500	0,1	0,9720000000000001	
0,09	0,9	1e-06	7000	0,1	0,9720000000000001	
